algo,lr,loss
epsilon:0:dr,learning_rate:0.01,536.9
epsilon:0:dr,learning_rate:0.03,536.9
epsilon:0:dr,learning_rate:0.1,536.9
epsilon:0:dr,learning_rate:0.3,536.9
epsilon:0:dr,learning_rate:1.0,536.9
epsilon:0:dr,learning_rate:10.0,536.9
epsilon:0:dr,learning_rate:3.0,536.9
epsilon:0:ips,learning_rate:0.001,536.9
epsilon:0:ips,learning_rate:0.003,536.9
epsilon:0:ips,learning_rate:0.01,536.9
epsilon:0:mtr,learning_rate:0.001,536.9
epsilon:0:mtr,learning_rate:0.003,536.9
epsilon:0:mtr,learning_rate:0.01,536.9
epsilon:0:mtr,learning_rate:0.03,536.9
epsilon:0:mtr,learning_rate:0.1,536.9
epsilon:0:mtr,learning_rate:0.3,536.9
epsilon:0:mtr,learning_rate:1.0,536.9
bag:4:dr,learning_rate:1.0,536.9
bag:4:dr,learning_rate:10.0,536.9
bag:4:dr,learning_rate:3.0,536.9
bag:4:greedify:dr,learning_rate:0.001,536.9
bag:4:ips,learning_rate:0.01,536.9
bag:4:ips,learning_rate:0.003,536.9
bag:4:ips,learning_rate:0.001,536.9
bag:4:greedify:mtr,learning_rate:3.0,536.9
bag:4:greedify:mtr,learning_rate:10.0,536.9
bag:4:greedify:mtr,learning_rate:1.0,536.9
bag:4:greedify:mtr,learning_rate:0.3,536.9
bag:4:greedify:mtr,learning_rate:0.1,536.9
cover:8:psi:1.0:nounif:mtr,learning_rate:1.0,536.9
cover:8:psi:1.0:nounif:mtr,learning_rate:10.0,536.9
cover:8:psi:1.0:nounif:mtr,learning_rate:3.0,536.9
bag:4:greedify:mtr,learning_rate:0.03,536.9
bag:4:mtr,learning_rate:0.003,536.9
bag:4:greedify:mtr,learning_rate:0.01,536.9
bag:4:greedify:mtr,learning_rate:0.001,536.9
bag:4:greedify:ips,learning_rate:0.01,536.9
bag:4:greedify:ips,learning_rate:0.003,536.9
bag:4:greedify:ips,learning_rate:0.001,536.9
cover:8:psi:0:nounif:dr,learning_rate:0.3,536.9
